month,spot,future
Jan-86,22.93,21.66
Feb-86,15.46,15.94
Mar-86,12.61,13.28
Apr-86,12.84,12.62
May-86,15.38,14.29
Jun-86,13.43,13.04
Jul-86,11.59,11.49
Aug-86,15.1,14.94
Sep-86,14.87,14.91
Oct-86,14.9,15.18
Nov-86,15.22,15.38
Dec-86,16.11,16.26
Jan-87,18.65,18.12
Feb-87,17.75,17.45
Mar-87,18.3,17.7
Apr-87,18.68,17.86
May-87,19.44,18.69
Jun-87,20.07,19.41
Jul-87,21.34,20.6
Aug-87,20.31,19.83
Sep-87,19.53,19.17
Oct-87,19.86,19.6
Nov-87,18.85,18.62
Dec-87,17.28,16.88
Jan-88,17.13,16.81
Feb-88,16.8,16.53
Mar-88,16.2,16.02
Apr-88,17.86,17.65
May-88,17.42,17.7
Jun-88,16.53,16.88
Jul-88,15.5,15.9
Aug-88,15.52,15.85
Sep-88,14.54,14.21
Oct-88,13.77,13.52
Nov-88,14.14,13.8
Dec-88,16.38,15.46
Jan-89,18.02,16.79
Feb-89,17.94,16.69
Mar-89,19.48,18.15
Apr-89,21.07,18.52
May-89,20.12,17.94
Jun-89,20.05,18.11
Jul-89,19.78,18.53
Aug-89,18.58,18.05
Sep-89,19.59,19.02
Oct-89,20.1,19.52
Nov-89,19.86,19.33
Dec-89,21.1,20.16
Jan-90,22.86,20.86
Feb-90,22.11,21.4
Mar-90,20.39,20.72
Apr-90,18.43,19.85
May-90,18.2,19.75
Jun-90,16.7,18.52
Jul-90,18.45,20.1
Aug-90,27.31,25.92
Sep-90,33.51,30.56
Oct-90,36.04,32.32
Nov-90,32.33,29.19
Dec-90,27.28,24.75
Jan-91,25.23,22.09
Feb-91,20.48,18.41
Mar-91,19.9,18.95
Apr-91,20.83,20.13
May-91,21.23,21.18
Jun-91,20.19,20.45
Jul-91,21.4,21.12
Aug-91,21.69,21.42
Sep-91,21.89,21.51
Oct-91,23.23,22.57
Nov-91,22.46,21.83
Dec-91,19.5,19.49
Jan-92,18.79,19.01
Feb-92,19.01,19.3
Mar-92,18.92,19.23
Apr-92,20.23,20.27
May-92,20.98,21.05
Jun-92,22.39,22.15
Jul-92,21.78,21.51
Aug-92,21.34,21.05
Sep-92,21.88,21.55
Oct-92,21.69,21.47
Nov-92,20.34,20.39
Dec-92,19.41,19.64
Jan-93,19.03,19.42
Feb-93,20.09,20.18
Mar-93,20.32,20.54
Apr-93,20.25,20.7
May-93,19.95,20.41
Jun-93,19.09,19.73
Jul-93,17.89,18.57
Aug-93,18.01,18.73
Sep-93,17.5,18.23
Oct-93,18.15,18.59
Nov-93,16.61,17.41
Dec-93,14.52,15.45
Jan-94,15.03,15.48
Feb-94,14.78,15.23
Mar-94,14.68,14.96
Apr-94,16.42,16.18
May-94,17.89,17.17
