FACTURACION ELECTRICIDAD UTE POR SECTOR (MWh);;;;;;;;;
;;;;;;;;;
año;mes;residencial;primario;industrial;electr. gas y agua;construcción;comercio y servicios;alumbrado público;TOTAL
2000;1;243.185;26.017;112.211;15.954;1.752;128.345;14.769;542.233
2000;2;222.02;30.061;117.173;18.477;1.775;138.399;15.871;543.776
2000;3;233.924;24.702;114.967;15.723;1.701;132.807;15.608;539.432
2000;4;207.638;18.548;123.629;16.152;1.657;126.979;16.014;510.617
2000;5;232.248;13.166;103.511;14.38;1.709;123.464;15.511;503.989
2000;6;252.27;12.887;116.293;14.611;1.984;108.607;16.899;523.551
2000;7;276.399;12.218;115.401;13.944;2.177;133.841;17.071;571.051
2000;8;282.034;10.953;106.774;14.896;2.275;136.027;16.812;569.771
2000;9;265.661;12.356;114.552;14.354;2.148;133.853;16.929;559.853
2000;10;239.251;12.377;107.451;13.486;1.873;124.27;16.147;514.855
2000;11;230.092;12.101;114.742;13.746;1.64;118.709;15.864;506.894
2000;12;215.025;15.171;112.179;14.114;1.53;119.225;15.015;492.259
2001;1;237.717;23.432;113.779;16.991;1.553;135.498;14.611;543.581
2001;2;221.439;22.9;110.318;17.923;1.56;138.827;15.153;528.12
2001;3;236.282;22.927;113.056;15.947;1.547;131.455;15.531;536.745
2001;4;224.005;16.255;124.004;17.535;1.556;133.787;17.075;534.217
2001;5;238.55;13.94;110.425;15.331;1.654;120.26;17.371;517.531
2001;6;254.691;13.213;110.119;15.403;1.766;129.26;18.482;542.934
2001;7;265.4;12.789;106.483;14.874;1.941;134.303;18.337;554.127
2001;8;269.065;12.474;106.13;15.126;1.797;130.003;18.865;553.46
2001;9;252.54;12.776;109.866;15.524;1.776;131.212;19.852;543.546
2001;10;236.301;11.944;103.599;14.361;1.552;118.335;14.559;500.651
2001;11;240.412;12.883;110.929;14.786;1.576;126.776;17.401;524.763
2001;12;212.454;13.942;114.165;15.218;1.359;124.523;16.384;498.045
2002;1;244.399;19.054;103.788;16.597;1.398;134.666;15.823;535.725
2002;2;222.325;24.252;106.793;17.626;1.289;132.291;16.144;520.72
2002;3;217.783;22.343;100.878;15.583;1.334;125.034;16.793;499.748
2002;4;225.903;13.936;103.244;16.582;1.274;124.566;17.788;503.293
2002;5;246.876;13.972;108.904;15.823;1.421;124.544;19.065;530.605
2002;6;241.957;13.669;111.223;16.056;1.471;125.367;19.363;529.106
2002;7;270.065;11.734;98.184;15.151;1.719;127.14;20.791;544.784
2002;8;267.163;11.732;97.232;15.947;1.608;136.016;20.424;550.122
2002;9;235.58;12.124;97.473;15.517;1.426;123.785;19.32;505.225
2002;10;219.342;11.362;89.017;14.383;1.163;113.763;18.965;467.995
2002;11;216.234;11.192;98.607;15.307;1.006;115.336;18.969;476.651
2002;12;198.797;11.794;100.115;15.462;927;115.227;17.372;459.694
2003;1;230.155;15.678;98.959;16.525;1.15;123.594;16.8;502.861
2003;2;213.716;23.193;101.528;17.705;1.07;130.221;16.468;503.901
2003;3;204.381;18.496;96.863;15.88;1.053;119.494;16.958;473.125
2003;4;195.369;15.415;101.296;15.897;977;110.62;16.238;455.812
2003;5;217.246;13.864;104.012;15.156;1.061;111.038;19.402;481.779
2003;6;220.915;13.219;107.687;15.418;1.138;116.736;15.492;490.605
2003;7;238.197;11.549;100.207;14.455;1.256;121.526;18.895;506.085
2003;8;244.282;10.433;107.726;14.913;1.386;129.193;19.826;527.76
2003;9;231.306;11.218;103.532;14.521;1.273;124.147;19.689;505.686
2003;10;220.388;11.358;109.221;14.846;1.168;118.85;18.318;494.149
2003;11;201.875;12.681;115.126;14.506;1.048;118.854;16.992;481.082
2003;12;189.283;14.769;111.371;14.892;850;107.418;16.14;454.723
2004;1;227.237;26.209;117.672;17.607;1.128;129.259;17.242;536.354
2004;2;203.973;28.55;118.695;17.491;1.082;129.472;16.498;515.761
2004;3;207.215;25.468;109.051;16.757;1.205;120.921;17.168;497.785
2004;4;213.458;20.182;130.657;18.099;1.119;129.975;18.451;531.941
2004;5;210.446;15.595;118.009;16.967;1.079;121.83;18.999;502.925
2004;6;226.545;13.128;117.489;15.853;1.183;120.633;19.661;514.492
2004;7;240.583;13.04;122.3;15.456;1.318;130.716;20.465;543.878
2004;8;239.172;14.2;121.158;15.789;1.343;134.745;20.539;546.945
2004;9;234.361;13.373;118.256;15.263;1.312;127.118;19.132;528.814
2004;10;216.696;13.881;120.279;15.139;1.153;123.5;19.038;509.685
2004;11;208.267;14.408;122.394;15.71;1.125;118.591;18.479;498.974
2004;12;201.983;17.816;125.608;15.694;1.097;122.048;16.901;501.146
2005;1;234.24;32.898;128.253;18.268;1.203;145.092;17.616;577.571
2005;2;214.794;33.399;119.875;18.788;1.217;136.206;16.96;541.239
2005;3;206.735;28.953;118.465;16.867;1.159;128.134;17.814;518.128
2005;4;208.567;20.593;125.816;17.115;1.177;126.956;19.291;519.515
2005;5;211.188;16.379;123.882;16.002;1.212;119.426;19.192;507.281
2005;6;237.506;14.632;130.007;16.193;1.404;126.38;20.764;546.885
2005;7;241.364;13.83;123.336;15.764;1.435;131.47;20.474;547.672
2005;8;244.04;14.206;126.432;15.996;1.491;135.862;21.064;559.092
2005;9;248.54;13.826;130.846;16.084;1.467;135.359;19.291;565.414
2005;10;226.267;14.033;129.695;16.028;1.382;130.992;17.916;536.314
2005;11;211.473;14.153;129.062;15.689;1.241;122.156;17.211;510.984
2005;12;210.664;20.875;132.666;16.444;1.219;131.544;16.21;529.623
2006;1;233.035;31.591;136.744;18.857;1.338;136.572;16.972;575.109
2006;2;212.892;30.886;128.421;17.56;1.474;138.542;16.459;546.234
2006;3;220.966;30.471;122.408;16.875;1.467;136.233;17.698;546.118
2006;4;220.836;23.88;138.253;18.276;1.41;142.88;18.519;564.055
2006;5;221.02;17.514;122.462;16.384;1.389;126.537;19.732;525.038
2006;6;236.987;15.785;130.312;16.584;1.62;130.314;19.183;550.784
2006;7;233.127;13.893;128.418;15.753;1.507;125.498;19.458;537.654
2006;8;240.33;14.09;124.385;15.389;1.512;123.2;18.454;537.359
2006;9;246.041;14.914;132.011;15.462;1.689;133.474;19.653;563.242
2006;10;218.24;14.932;134.218;15.199;1.606;123.879;16.802;524.875
2006;11;218.282;15.717;135.976;15.886;1.404;127.254;17.284;531.803
2006;12;211.876;22.593;133.049;16.084;1.451;135.153;16.077;536.282
2007;1;238.482;30.255;136.519;18.14;1.587;149.642;16.984;591.608
2007;2;223.609;35.962;132.397;18.704;1.603;149.828;16.754;578.856
2007;3;221.421;26.268;127.587;16.819;1.637;145.189;18.251;557.173
2007;4;225.825;17.448;145.326;17.662;1.399;145.02;17.166;569.846
2007;5;228.077;16.749;132.58;16.363;1.566;138.259;18.794;552.388
2007;6;266.63;15.759;136.207;16.301;1.87;149.332;20.409;606.508
2007;7;272.734;14.693;134.271;15.666;1.929;150.077;20.102;609.472
2007;8;294.362;15.322;140.229;15.835;2.163;160.61;19.768;648.29
2007;9;262.314;15.962;149.126;15.94;2.145;162.428;19.686;627.601
2007;10;230.136;14.528;140.32;14.688;1.79;135.514;18.897;555.873
2007;11;229.106;15.619;156.491;15.695;1.787;143.317;17.805;579.819
2007;12;212.063;18.871;149.863;15.884;1.566;142.061;16.369;556.677
2008;1;250.914;32.672;142.966;17.681;1.86;153.943;17.024;617.061
2008;2;239.273;35.902;145.453;19.153;1.7;158.864;16.398;616.742
2008;3;215.953;31.804;143.027;17.424;1.67;151.012;17.173;578.063
