quarter,C1.1.GDP251  ,C1.2.GDP252  ,C1.3.GDP253  ,C1.4.GDP254  ,C1.5.GDP255  ,C1.6.GDP256  ,C1.7.GDP257  ,C1.8.GDP258  ,C1.9.GDP259  ,C1.10.GDP260  ,C1.11.GDP261  ,C1.12.GDP263  ,C1.13.GDP264  ,C1.14.GDP265  ,C1.15.GDP266  ,C1.16.GDP267  ,C2.1.IPS10   ,C2.2.IPS11   ,C2.3.IPS299  ,C2.4.IPS12   ,C2.5.IPS13   ,C2.6.IPS18   ,C2.7.IPS25   ,C2.8.IPS32   ,C2.9.IPS34   ,C2.10.IPS38   ,C2.11.IPS43   ,C2.12.IPS306  ,C2.13.PMP     ,C2.14.UTL11   ,C3.1.CES002  ,C3.2.CES003  ,C3.3.CES006  ,C3.4.CES011  ,C3.5.CES015  ,C3.6.CES017  ,C3.7.CES033  ,C3.8.CES046  ,C3.9.CES048  ,C3.10.CES049  ,C3.11.CES053  ,C3.12.CES088  ,C3.13.CES140  ,C3.14.LHEL    ,C3.15.LHELX   ,C3.16.LHEM    ,C3.17.LHNAG   ,C3.18.LBMNU   ,C3.19.CES151  ,C3.20.CES155  ,C4.1.LHUR    ,C4.2.LHU680  ,C4.3.LHU5    ,C4.4.LHU14   ,C4.5.LHU15   ,C4.6.LHU26   ,C4.7.LHU27   ,C5.1.HSFR    ,C5.2.HSBR    ,C5.3.HSNE    ,C5.4.HSMW    ,C5.5.HSSOU   ,C5.6.HSWST   ,C6.1.PMI     ,C6.2.PMNO    ,C6.3.PMDEL   ,C6.4.PMNV    ,C6.5.MOCMQ   ,C6.6.MSONDQ  ,C7.1.GDP272A,C7.2.GDP273A,C7.3.CPIAUCSL,C7.4.PCEPILFE,C7.5.CPILFESL,C7.6.GDP274A,C7.7.GDP274_1,C7.8.GDP274_2,C7.9.GDP274_3,C7.10.GDP275A,C7.11.GDP275_1,C7.12.GDP275_2,C7.13.GDP275_3,C7.14.GDP275_4,C7.15.GDP276A,C7.16.GDP276_1,C7.17.GDP276_2,C7.18.GDP276_3,C7.19.GDP276_4,C7.20.GDP276_5,C7.21.GDP276_6,C7.22.GDP276_7,C7.23.GDP276_8,C7.24.GDP277A,C7.25.GDP278A,C7.26.GDP279A,C7.27.GDP280A,C7.28.GDP281A,C7.29.GDP282A,C7.30.GDP284A,C7.31.GDP285A,C7.32.GDP286A,C7.33.GDP287A,C7.34.GDP288A,C7.35.PSCCOMR ,C7.36.PW561   ,C7.37.PMCP    ,C8.1.CES275R  ,C8.2.CES277R  ,C8.3.CES278 R ,C8.4.LBOUT   ,C8.5.LBPUR7  ,C8.6.LBLCPU  ,C9.1.FYFF    ,C9.2.FYGM3   ,C9.3.FYGM6   ,C9.4.FYGT1   ,C9.5.FYGT5   ,C9.6.FYGT10  ,C9.7.FYAAAC  ,C9.8.FYBAAC  ,C9.9.Sfygm6,C9.10.Sfygt1,C9.11.Sfygt10,C9.12.sFYAAAC  ,C9.13.sFYBAAC  ,C10.1.FM1     ,C10.2.MZMSL,C10.3.FM2,C10.4.FMFBA   ,C10.5.FMRRA   ,C10.6.BUSLOANS,C10.7.CCINRV  ,C11.1.EXRUS   ,C11.2.EXRSW   ,C11.3.EXRJAN  ,C11.4.EXRUK   ,C11.5.EXRCAN  ,C12.1.FSPCOM  ,C12.2.FSPIN   ,C12.3.FSDXP   ,C12.4.FSPXE   ,C12.5.FSDJ    ,C13.HHSNTN  
1959Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.73333333,81.37233333,,,,,,,,,,,,,,,,,,,39.83333333,,,,,,,,,7.40731771,7.341915818,5.834810737,6.097324938,6.225218278,5.874930731,66.13333333,69.9,65.13333333,53.13333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.86666667,,,,,,,,,,,,,,,0.343333333,0.73,1.216666667,0.14,0.88,,,,,,,,,,,,,,,,,,
1959Q2,0.025957603,0.01681816,0.038147709,0.008626573,0.019293831,0.081113313,0.031926147,0.030125336,0.030318476,0.030044454,0.034856603,0.032785087,0.050376683,0.015175166,0.023669657,0.002740235,0.047358037,0.030673717,0.029457121,0.019675311,0.036987177,0.014167228,0.066613546,0.069282974,0.0901974,0.051107116,0.047050337,-0.005316387,70.76666667,84.5589,0.016878225,0.023576799,0.004186764,0.031331295,0.022964472,0.033416704,0.00804067,0.009898691,0.010982566,0.011238226,0.009515054,0.009857692,0.003484253,4.666666667,0.181,0.012933481,0.00958119,0.018947762,40.2,0.266666667,-0.733333333,-0.866666667,-0.020260548,-0.165993245,-0.269056709,-0.319128015,-0.23290194,7.333240856,7.322510434,5.572154032,5.894402834,6.241574547,5.967854681,66.5,67,63.83333333,64.26666667,0.007925044,0.072986355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018184139,,66.06666667,0.013035888,0.009707942,0.012061745,0.006426179,0.008378382,-0.003528258,0.513333333,0.226666667,0.256666667,0.413333333,0.336666667,0.266666667,0.223333333,0.083333333,0.373333333,0.916666667,1.256666667,0.096666667,0.696666667,,,,,,,,-0.002758885,0.000656241,0,0.001788749,-0.009004252,0.035277651,0.040537882,-0.036666667,0.043333333,0.047494455,1.4
1959Q3,-0.000759802,0.011185847,0.020242874,0.005521496,0.014742518,-0.072806171,0.012128216,0.031151722,0.029239153,0.032231829,-0.019074467,0.03105579,0.010795559,0.012476365,0.020384286,0.000887115,-0.04176259,0.002350953,0.013428874,0.011071787,0.00249892,0.013199485,0.019663025,-0.109495568,-0.184232616,0.003681235,-0.040646217,-0.021158092,57.7,80.49876667,-0.00098499,-0.008277292,-0.040915887,-0.005298742,-0.007502332,-0.017680709,0.007035258,0.004869128,0.004583613,0.012882565,0.007675131,0.007330018,0.006322552,2.333333333,0.016666667,0.00158893,0.007057375,-0.00294214,39.93333333,-0.066666667,0.166666667,-0.933333333,0.06565025,0.168616771,-0.104349904,0.030046921,-0.209131575,7.316991047,7.274248532,5.512083756,5.888877958,6.258305954,5.926036742,54.96666667,53.13333333,58,51.73333333,-0.050781177,0.015114278,0.001346767,0.002684447,0.003428356,0.002041191,-0.001132588,-0.004250709,-0.008356233,-0.002006798,0.002495986,0.003200306,0.005569413,0.00143314,-0.008578678,0.004536241,0.004516805,-0.002781385,0.010515541,0.007461758,0.012216572,-0.002630888,-0.000697725,0.002918332,0.017842692,-0.001098271,-0.001108545,-0.00116676,-0.002035408,-0.000736315,-0.00096229,0.00728447,0.001689194,-0.002221103,-0.002721746,-0.00138294,0.057023566,-0.007368004,61.03333333,-0.00361661,0.012139894,-0.006754674,0.006011896,0.001558146,0.006785469,0.493333333,0.54,0.756666667,0.686666667,0.36,0.246666667,0.12,0.163333333,0.59,1.063333333,0.963333333,-0.03,0.613333333,-0.001485013,-0.000549524,-0.001341794,0.001748088,0.013079337,0.008657386,0.007084665,0.003676824,-0.000602182,0.000240819,-0.002223084,-0.007653276,0.021049786,0.023641257,-0.063333333,-1.083333333,0.041463406,-0.533333333
1959Q4,0.00351424,0.001416279,-0.052150608,0.006792759,0.012976739,0.032942611,-0.013456784,-0.004000733,-0.007458917,-0.001772622,-0.029568786,-0.027651531,-0.026049849,-0.010911287,-0.014585989,-0.005408823,0.004772811,-0.005101403,-0.011045128,-0.010276326,-0.053001773,0.005384427,-0.021540614,0.023520307,0.040395779,-0.009814756,0.003582744,0.015815518,54.66666667,80.07566667,0.002035067,-0.002989019,-0.004263772,-0.013535847,-0.001042232,-0.001893131,0.000156941,0.00748132,0.003205131,0.004902338,0.004920813,0.007679391,0.013088452,-1,-0.067666667,0.000806354,0.001777599,0.000147313,39.7,-0.166666667,0.333333333,-0.866666667,0.070769071,0.052180819,0.041046436,0.109033761,-0.022744406,7.284363561,7.207859871,5.529429088,5.834810737,6.237673371,5.862683757,52.83333333,54.63333333,55.6,43.86666667,-0.007910058,-0.022467842,0.001143507,2.22898E-05,0.000881967,-0.000429394,0.002173534,-0.000175258,0.000573804,-0.001169625,2.97707E-05,-0.001424289,-0.003211733,-0.002589939,0.019765158,-0.007092636,0.001680376,0.002125384,-0.005843241,-0.001493141,-0.009104269,-0.003590418,0.004519474,-0.002266814,0.006907835,-0.001089054,-0.001170179,-0.002566881,-0.003137633,-0.002092426,0.000961943,0.002452736,0.006570094,0.007022426,0.010482791,0.001794584,0.040495647,-0.004987056,63.93333333,-0.002111099,0.009248275,-0.003573978,0.002589146,0.003620928,0.011390482,0.413333333,0.69,0.51,0.313333333,0.143333333,0.08,0.096666667,0.156666667,0.41,0.686666667,0.353333333,-0.013333333,0.69,-0.015842826,-0.008442558,-0.010003179,-0.008677767,-0.013397235,-0.020095635,-0.000427105,0.000379591,0.004169225,0.000842409,-0.002076135,-0.004936034,-0.016596467,-0.01662974,0.056666667,-1.363333333,-0.00191115,0.2
1960Q1,0.022000572,0.00896599,0.033458475,-0.000502683,0.011834458,0.104533888,0.034287651,0.03772683,0.040765977,0.035802969,0.028280617,0.118569409,0.03686988,-0.020097638,-0.046368917,0.017271968,0.058544959,0.035172519,0.036607119,0.038195154,0.122550563,0.007642217,0.045857561,0.093302909,0.146307839,0.028133311,0.06351847,0.001147508,60.96666667,84.4715,0.013377809,0.017442453,0.014626559,-0.015952482,0.024209788,0.037699043,0.00490504,0.010216553,0.00796817,0.003934464,0.010841895,0.008552772,0.009625636,0.333333333,0.073,0.004395251,0.007206906,0.006151355,39.73333333,0.166666667,-0.466666667,0.166666667,-0.084403262,-0.123359484,-0.02545592,-0.009369438,-0.041840965,7.21327727,6.951772164,5.436628982,5.754686805,6.160503839,5.824031603,53.86666667,56.7,35.56666667,51.86666667,0.00497213,-0.037835783,-0.001593318,-0.003222823,-0.005125828,-0.003147178,-0.002221839,-0.001183809,-0.007203125,0.003455967,0.003748422,-0.003587777,0.00039935,0.00064341,-0.035348468,-0.00177215,-0.003563766,-0.003387772,-0.000951058,-0.00015373,-0.0022008,0.001951735,-0.012693394,-0.004764282,-0.002180765,-0.000914534,-0.000284009,-0.001758545,0.002871118,-0.004831689,0.00221897,-0.009655492,-0.012309707,0.002135787,-0.001955513,0.00767622,0.003302899,0.009901071,60.66666667,0.020752642,0.01865155,0.023357028,0.026859306,0.019966305,-0.001682025,-0.056666667,-0.356666667,-0.423333333,-0.346666667,-0.186666667,-0.096666667,-0.016666667,0.036666667,0.343333333,0.696666667,0.613333333,0.066666667,0.823333333,0.005897168,0.001251237,0.001775017,-0.001741802,-0.008239422,0.009591259,-0.013230094,0.000221361,-0.000153821,0.0008417,0.000180301,0.002278504,-0.0260742,-0.029895309,0.18,-0.47,-0.031248722,6.1
1960Q2,-0.005004115,0.012250914,0.022798915,0.011615215,0.009533578,-0.107637272,-0.020393736,0.015323302,0.011720993,0.017584905,-0.085811582,0.061460275,0.006408492,0.008068109,-0.003847358,0.024132323,-0.021936783,-0.001900017,0,0.00534002,-0.016447375,0.013234285,-0.009365544,-0.050542644,-0.083427235,-0.009225939,-0.026454997,0.02043165,47.76666667,81.318,0.001056746,-0.007019741,-0.002617041,0.007675659,-0.009887778,-0.016559716,-0.000260301,0.007558974,0.007221541,0.003287579,0.009320743,0.007424136,0.009494493,-2.666666667,-0.078333333,0.012919656,0.011932089,0.00177148,39.66666667,-0.4,0.1,-1.066666667,0.09194463,0.018275249,-0.063875757,-0.036877335,-0.092615164,7.145984468,6.916384606,5.364417168,5.713732806,6.095824562,5.731181449,44.1,49,32,43.96666667,-0.015019621,0.039252898,0.001996758,0.003572328,0.005084221,0.001478782,-0.002192942,8.48663E-05,0.001785136,-0.001184644,-0.001062313,0.006220158,0.009240175,0.002731635,0.012341816,-0.002938811,0.001745643,-6.54664E-06,-0.001332723,-0.002152278,-0.000526521,-0.004800016,0.015938993,-0.002650402,0.001796086,0.000910167,0.000772039,0.000821024,-0.009624483,0.007559205,0.00082745,-0.002381674,0.003261608,-0.000403746,0.002865244,-0.004837853,0.130390177,0,56.66666667,-0.001037357,-0.000420491,-0.00395417,-0.02026148,-0.000125421,0.020430312,-0.236666667,-0.88,-0.926666667,-0.7,-0.34,-0.226666667,-0.1,-0.063333333,0.296666667,0.876666667,1.266666667,0.193333333,0.986666667,0.000708414,0.000651043,0.002743957,0.003283127,0.005608236,-0.003252916,0.003651481,0.005926877,-0.001755237,0.000360512,0.00110239,0.023325278,-0.003679093,-0.006778934,0.053333333,-0.573333333,-0.007931231,-3.833333333
1960Q3,0.001566478,-0.004123197,-0.007961042,-0.007011808,0.000414451,-0.006170654,-0.027085121,-0.025198184,0.002067725,-0.042798973,-0.030794948,-0.025514949,-0.030168626,0.023916066,0.030741647,0.014787831,-0.016580554,-0.015723871,-0.013087728,-0.011862004,-0.03945686,-0.001502335,-0.031621483,-0.021347996,-0.028772832,-0.013077784,-0.018555057,0.007091761,49.5,78.8989,-0.006080678,-0.012618027,-0.01787117,-0.010023472,-0.012759069,-0.016949558,-0.00679173,-0.000947679,-0.005276742,0.002894036,-0.004858117,0.007500529,0.000393654,-2.666666667,-0.097333333,-0.00057034,-0.003766607,-0.005683083,39.33333333,-0.066666667,0.3,0.433333333,-0.01143091,0.122885608,0.105360516,0.154901713,0.048163401,7.10057707,6.900059072,5.332718793,5.682445337,6.03787092,5.680172609,45.56666667,50.6,37.03333333,40.6,0.015607898,-0.041229746,0.000265293,-0.001566636,-0.005428353,-5.80619E-08,-0.003267382,-0.0017424,-0.002430289,-0.001261855,-0.00078411,-0.003451673,-0.009845682,-0.001568723,0.02073233,0.000378517,0.00058244,0.002059658,-0.002962075,-0.00358547,-0.002450591,0.002718507,-0.003015407,0.00337075,0.00128324,-0.002429488,-0.002603151,-0.002010349,0.001287203,-0.004104816,-0.003588767,0.006097412,0.00469722,0.006906027,0.012358876,-0.000292715,0.042102096,0,49.63333333,0.000487488,0.012379025,0.000694981,0.002011908,0.005113821,0.003257623,-0.76,-0.633333333,-0.58,-0.796666667,-0.626666667,-0.426666667,-0.14,-0.143333333,0.35,0.713333333,1.473333333,0.48,1.27,0.01141592,0.00872505,0.009663849,0.007416625,0.030372975,-0.017299168,-0.010863041,-0.001604354,-0.003643469,-0.004678252,0.001565977,-0.000821299,-0.006261761,-0.012285236,0.03,-0.083333333,-0.016951162,-1.966666667
1960Q4,-0.01303707,0.001137681,-0.027219376,0.000912261,0.010260259,-0.131411448,-0.003985093,-0.005330503,0.037390807,-0.034418982,-0.001360665,0.020653952,-0.04823214,0.006823863,0.003436658,0.011417921,-0.024401386,-0.012055275,-0.011300949,-0.006564799,-0.02705648,0.000752756,-0.027649586,-0.042884301,-0.066880402,-0.020464473,-0.028094002,-0.005220512,48.1,75.85226667,-0.008485994,-0.018182159,-0.011277661,-0.020353484,-0.017791766,-0.024040699,-0.009004563,0.000748741,-0.005034322,-0.004282185,-0.00267399,0.004838825,0.008114032,-3.666666667,-0.138333333,-0.00279077,-0.001689665,-0.009335359,38.8,-0.2,0.733333333,0.7,0.084768021,0.111125624,0.227797018,0.192564924,0.269093442,7.077498054,6.874543145,5.498533413,5.580986897,5.930475275,5.700443573,44.86666667,48.6,38.06666667,40.23333333,-0.022214798,-0.018994663,-0.000257563,0.000702128,0.005837149,-0.000294585,0.006520576,0.001424959,0.003946105,-0.000887566,-0.00051095,0.00205714,0.007726742,-0.00177137,-0.018727482,0.000614345,-0.001111807,-0.000548154,-0.001895071,-0.003131,-0.001001366,0.003683661,-0.002706295,-0.000584727,-0.002333517,-0.00128446,-0.001479439,-0.002784026,-0.002051207,-0.003074338,0.001013895,-0.008001585,-0.0082206,-0.002324853,-0.003659852,-0.000626051,-0.070766859,0,46.16666667,0.002737189,0.004042523,-0.001546691,-0.007699947,-0.00209241,0.017396056,-0.64,-0.053333333,-0.08,-0.08,0.073333333,0.053333333,0.006666667,-0.006666667,0.323333333,0.686666667,1.58,0.433333333,1.21,-0.009742489,-0.001027423,-0.003197027,-0.002512903,-0.005914188,0.002295285,-0.00328789,0.001824359,-0.00075815,0.001317682,0.000130338,0.005837091,-0.006963649,-0.006568912,0.016666667,1.213333333,-0.030357868,-3.133333333
1961Q1,0.006007923,-8.42283E-05,-0.060682302,0.006537983,0.010561962,0.024514989,-0.012703522,-0.021428748,-0.004530242,-0.033423214,0.003870077,-0.007036823,-0.004968767,0.012973637,-0.001296578,0.031878885,-0.015255339,-0.011807115,-0.014602189,-0.015226165,-0.075796444,0.003751834,-0.01587166,-0.020687944,-0.04529873,0.008300301,-0.017405024,0.017785763,50.63333333,73.8284,-0.008070117,-0.01674721,-0.029509341,-0.005383439,-0.018361405,-0.02821311,-0.004772013,-0.000123172,-0.006056698,-0.004636976,-0.003388555,0.004425938,0.005722421,-1.333333333,-0.064666667,-0.001545349,-0.000187917,-0.005620128,39.23333333,-0.066666667,0.533333333,0.533333333,0.034832017,0.057347315,0.168676075,0.158689952,0.179823429,7.12313544,6.884145413,5.299982646,5.695974292,6.073044534,5.731181449,45.53333333,50.36666667,40.8,38.66666667,-0.02867619,0.00867869,-0.003267172,-0.002977424,-0.004387813,-0.002286233,-0.003267341,0.001963532,0.005420502,-0.001176464,-0.000745276,-0.003283527,-0.004795178,-0.000941967,-0.004799102,-0.000189929,-0.004320994,-0.00196072,-0.000541263,0.001885962,-0.001974951,-0.000941456,-0.007390163,-0.000138547,-0.011105531,0.000436333,6.63055E-05,0.002408962,0.006828986,-0.000627256,-0.004357427,0.007994429,0.003701302,-0.00769634,-0.014234814,0.001328383,-0.017430389,0,49.86666667,-0.000175439,0.009423536,-0.000100627,0.010526197,0.006885299,-0.003307067,-0.293333333,0.043333333,-0.093333333,-0.12,-0.103333333,-0.1,-0.05,-0.033333333,0.186666667,0.523333333,1.436666667,0.483333333,1.276666667,0.005431363,0.00231645,0.002643071,-0.007505718,-0.019209921,-0.00325219,-0.003274669,0.001193467,0.00207967,-0.001429115,-0.003405746,0.01093351,0.113812647,0.111342248,-0.36,2.213333333,0.085286288,1.066666667
1961Q2,0.018622803,0.014881974,0.020959432,0.010436293,0.018053129,0.072428571,0.014633776,0.020537562,-0.01694766,0.046714081,0.003590774,-0.013981185,0.012599537,0.002258415,0.009040936,-0.006714718,0.038879016,0.026949811,0.02590447,0.036691359,0.100386212,0.017081463,0.010098474,0.058065177,0.08011134,0.040296188,0.041590564,-0.02642104,64.53333333,76.35433333,0.001966409,0.003767909,-0.011177348,-0.005874578,0.0060984,0.009544575,0.001380922,0.002611783,-0.002905747,-0.002058089,-0.004694661,0.005311237,0.008464964,1.333333333,0.007,-0.002020151,0.003013464,-0.002339998,39.33333333,0.133333333,0.2,1.966666667,-0.083998192,-0.018986447,0.159602868,0.060624622,0.258624645,7.137808239,6.940222469,5.482026849,5.58224239,6.12395373,5.690359454,58.2,65.5,48.23333333,42.43333333,0.075783031,-0.005743334,0.000704884,-0.001863525,-0.002347925,0.001650727,0.001073492,0.00517628,0.010957751,0.001656492,-6.07459E-05,-0.007141995,-0.007833021,-0.002958417,-0.023242099,-0.000189446,0.001919416,0.003035249,0.000575855,-0.000415564,0.001058949,0.001672306,-0.00078646,-0.003890521,0.004365737,0.001996592,0.002716846,0.000368703,0.00202827,-0.000827384,0.007044025,0.008309839,-0.00234906,0.004921132,0.005281823,0.004170233,0.038386711,0.007434978,52.26666667,0.013318802,0.017158925,0.013982753,0.03405765,0.014349483,-0.014303451,-0.27,-0.046666667,-0.05,0.063333333,-0.026666667,0.003333333,0.013333333,-0.046666667,0.183333333,0.633333333,1.486666667,0.493333333,1.226666667,0.002316363,-0.001043292,0.001161805,0.001685861,-0.009439505,-0.003176688,-0.015257926,-0.002168142,0.00202911,0.007208222,-0.002609485,0.003864057,0.062214038,0.06264973,-0.193333333,1.493333333,0.057995188,2.666666667
