yyyyq,y,dp,dy,ep,bm,ntis,tbl,ltr,tms,dfy,infl,ik
19471,-0.00367981861837266,-1.323653084,-1.327358934,-1.07718186,0.741534989,0.03101998,0.0038,0.003501737,0.0175,-0.006,0.018604651,0.035721207
19472,0.00176863502465083,-1.301315622,-1.300171989,-1.023766722,0.741116751,0.026472743,0.0038,0.000587378,0.0178,-0.0066,0.00456621,0.034786965
19473,-0.00277551334925838,-1.281637373,-1.284502123,-0.988932766,0.740323399,0.02405855,0.008,0.009987445,0.0133,-0.0062,0.045454545,0.033769696
19474,0.00547617958134407,-1.260412145,-1.254985178,-0.977865555,0.725325679,0.025921595,0.0095,-0.039831736,0.0148,-0.0066,0.017391304,0.034545513
19481,-0.00677213587713999,-1.248982416,-1.255272505,-0.945405231,0.841422122,0.027187025,0.01,0.010031671,0.0141,-0.007,0,0.036350154
19482,0.04196568236410970,-1.294336528,-1.248982416,-0.954242509,0.786973504,0.023893669,0.01,0.010106677,0.0138,-0.0058,0.02991453,0.034682752
19483,-0.03266438305468000,-1.250532165,-1.284236201,-0.874081072,0.836231071,0.019128082,0.0109,-0.00060301,0.0133,-0.0061,0.01659751,0.03443501
19484,-0.00740656325857351,-1.213360639,-1.221568469,-0.822008106,0.840947547,0.015014554,0.0116,0.01395183,0.0121,-0.0074,-0.016326531,0.034992792
19491,-0.00369846058486088,-1.186598896,-1.190617512,-0.801248015,0.901750423,0.014658966,0.0117,0.020637417,0.011,-0.0077,-0.012448133,0.032999509
19492,-0.02520104953272700,-1.142463082,-1.1692248,-0.770852012,0.953888424,0.016812418,0.0117,0.019752225,0.01,-0.0076,0.004201681,0.03145689
19493,0.03819906120832640,-1.175534114,-1.134029914,-0.814169552,0.875020547,0.023343408,0.0107,0.01332075,0.0105,-0.0077,0,0.029705694
19494,0.03102934087811660,-1.167369163,-1.135662602,-0.858786029,0.796429284,0.027175585,0.011,0.009224811,0.0099,-0.0073,-0.012552301,0.029053886
19501,0.01216434042382100,-1.169609132,-1.156088153,-0.863046647,0.825527785,0.029291342,0.0112,-0.00321602,0.0103,-0.0066,0,0.029764354
19502,0.00875345602138890,-1.168546587,-1.158613747,-0.842894116,0.813447468,0.030396659,0.0115,0.003794125,0.0101,-0.0066,0.008474576,0.032268846
19503,0.04000441689344880,-1.165067965,-1.123876192,-0.854350702,0.751457855,0.025914209,0.013,-0.000342035,0.009,-0.0057,0.025210084,0.034910743
19504,0.02094931943191990,-1.14252567,-1.121602271,-0.856524665,0.722538442,0.031358256,0.0134,0.000281093,0.009,-0.0053,0.024590164,0.034514995
