mes,soy
Jan-80,268
Feb-80,271
Mar-80,264
Apr-80,252
May-80,260
Jun-80,262
Jul-80,303
Aug-80,309
Sep-80,335
Oct-80,340
Nov-80,367
Dec-80,323.75
Jan-81,323
Feb-81,306
Mar-81,305
Apr-81,316
May-81,306
Jun-81,291
Jul-81,294
Aug-81,283
Sep-81,264
Oct-81,260
Nov-81,257
Dec-81,256
Jan-82,262
Feb-82,254
Mar-82,254.25
Apr-82,265
May-82,269
Jun-82,254
Jul-82,249
Aug-82,234
Sep-82,217
Oct-82,214
Nov-82,231
Dec-82,232
Jan-83,235
Feb-83,239
Mar-83,242
Apr-83,252.5
May-83,252
Jun-83,243
Jul-83,263
Aug-83,339
Sep-83,349.8
Oct-83,328.75
Nov-83,324
Dec-83,311
Jan-84,305
Feb-84,293
Mar-84,314
Apr-84,315
May-84,338
Jun-84,308
Jul-84,270
Aug-84,261
Sep-84,245
Oct-84,245
Nov-84,250
Dec-84,241
Jan-85,243
Feb-85,239
Mar-85,241
Apr-85,243
May-85,231
Jun-85,227
Jul-85,223
Aug-85,211
Sep-85,207
Oct-85,205
Nov-85,210
Dec-85,213
Jan-86,221
Feb-86,216
Mar-86,217
Apr-86,213
May-86,215
Jun-86,213
Jul-86,209
Aug-86,202
Sep-86,195
Oct-86,197
Nov-86,204
Dec-86,199
Jan-87,200
Feb-87,198
Mar-87,199
Apr-87,207
May-87,221
Jun-87,228
Jul-87,222
Aug-87,215
Sep-87,214
Oct-87,217
Nov-87,228
Dec-87,240
Jan-88,254
Feb-88,254
Mar-88,257
Apr-88,270
May-88,285
Jun-88,353
Jul-88,351
Aug-88,342
Sep-88,337
Oct-88,313
Nov-88,313
Dec-88,313
Jan-89,318
Feb-89,307
Mar-89,313
Apr-89,297
May-89,297
Jun-89,291
Jul-89,272
Aug-89,236
Sep-89,237
Oct-89,238
Nov-89,246
Dec-89,248
Jan-90,242
Feb-90,240
Mar-90,242
Apr-90,247
May-90,259
Jun-90,249
Jul-90,252
Aug-90,250
Sep-90,250
Oct-90,247
Nov-90,239
Dec-90,244
Jan-91,239
Feb-91,241
Mar-91,244
Apr-91,245
May-91,241
Jun-91,241
Jul-91,229
Aug-91,241
Sep-91,246
Oct-91,237
Nov-91,237
Dec-91,234
Jan-92,236
Feb-92,237
Mar-92,240
Apr-92,235
May-92,247
Jun-92,253
Jul-92,237
Aug-92,229
Sep-92,227
Oct-92,221
Nov-92,229
Dec-92,235
Jan-93,239
Feb-93,236
Mar-93,238
Apr-93,244
May-93,246
Jun-93,245
Jul-93,287
Aug-93,274
Sep-93,260
Oct-93,249
Nov-93,267
Dec-93,276
Jan-94,282
Feb-94,273
Mar-94,274
Apr-94,261
May-94,256
Jun-94,265
Jul-94,237
Aug-94,232
Sep-94,233
Oct-94,227
Nov-94,239
Dec-94,243
Jan-95,243
Feb-95,238
Mar-95,246
Apr-95,249
May-95,250
Jun-95,252
Jul-95,261
Aug-95,257
Sep-95,266
Oct-95,271
Nov-95,282
Dec-95,296
Jan-96,305
Feb-96,299
Mar-96,295
Apr-96,316
May-96,322
Jun-96,308
Jul-96,312
Aug-96,317
Sep-96,319
Oct-96,290
Nov-96,286
Dec-96,289
Jan-97,301
Feb-97,308
Mar-97,332
Apr-97,338
May-97,298
Jun-97,278
Jul-97,306
Aug-97,265
Sep-97,269
Oct-97,278
Nov-97,288
Dec-97,284
Jan-98,273
Feb-98,273
Mar-98,265
Apr-98,259
May-98,247
Jun-98,242
Jul-98,238
Aug-98,219
Sep-98,216
Oct-98,223
Nov-98,234
Dec-98,230
Jan-99,221
Feb-99,205
Mar-99,205
Apr-99,207
May-99,199
Jun-99,194
Jul-99,183
Aug-99,199
Sep-99,207
Oct-99,203
